dob,name,subj_id,hundred_m,long_jump,shot_put,high_jump,four_hundred_m,hurdles,discus,pole_vault,javelin,fifteen_hundred_m,age,points,date,athlete_id
1980-01-03,Bryan CLAY,340,10.44,7.96,15.23,2.06,49.19,14.13,50.11,4.9,69.71,281,24.640657084188913,8820,2004-08-24,132
1992-02-10,Kevin MAYER,1151,10.62,7.54,14.98,2.05,49.4,13.92,49.44,5.4,70.31,281,30.45037645448323,8816,2022-07-24,478
1970-06-25,Erki NOOL,625,10.6,7.63,14.9,2.03,46.23,14.4,43.4,5.4,67.01,269,31.11841204654346,8815,2001-08-07,240
1988-01-21,Ashton EATON,239,10.35,7.73,14.39,1.93,46.02,13.72,45,5.2,64.83,269,25.555099247091032,8809,2013-08-11,91
1974-11-26,Roman ŠEBRLE,1823,10.78,7.86,15.41,2.12,47.83,13.96,43.42,4.9,69.22,268,28.511978097193705,8807,2003-06-01,778
1974-11-26,Roman ŠEBRLE,1823,10.95,7.79,15.5,2.12,48.35,13.89,48.02,5,68.97,278,27.515400410677618,8800,2002-06-02,778
1974-11-26,Roman ŠEBRLE,1823,10.83,7.92,15.41,2.12,48.48,14.04,46.88,5.1,68.51,282,27.698836413415467,8800,2002-08-08,778
1989-11-04,Damian WARNER,457,10.14,7.93,14.92,2.03,47.92,13.48,48.24,4.9,58.62,278,32.563997262149215,8797,2022-05-29,178
1989-11-04,Damian WARNER,457,10.31,7.81,14.83,2.03,47.72,13.56,47.32,4.8,61.94,266,28.55852156057495,8795,2018-05-27,178
1980-01-03,Bryan CLAY,340,10.44,7.78,16.27,1.99,48.92,13.93,53.79,5,70.97,306,28.635181382614647,8791,2008-08-22,132
1984-02-07,Trey HARDEE,2165,10.45,7.83,15.33,1.99,48.13,13.86,48.08,5.2,68,288,25.533196440793976,8790,2009-08-20,924
1976-09-06,Tom PAPPAS,2134,10.78,7.96,16.28,2.17,48.22,14.13,45.84,5.2,60.77,288,26.78986995208761,8784,2003-06-22,906
1992-02-10,Kevin MAYER,1151,10.7,7.52,15.72,2.08,48.26,13.75,47.14,5.1,66.1,276,25.503080082135522,8768,2017-08-12,478
1976-09-06,Tom PAPPAS,2134,10.8,7.62,16.11,2.09,47.58,13.99,46.94,5.1,65.9,284,26.97056810403833,8750,2003-08-27,906
1988-01-21,Ashton EATON,239,10.34,7.84,14.04,2,46.3,13.6,41.39,5.25,57.84,265,28.449007529089666,8750,2016-07-03,91
1980-01-03,Bryan CLAY,340,10.43,7.54,16.25,2,47.78,14.43,53.68,4.9,72,303,25.60164271047228,8732,2005-08-10,132
1976-09-06,Tom PAPPAS,2134,10.74,7.45,15.89,2.15,48.81,13.9,48.73,5.2,64.48,289,27.72895277207392,8732,2004-05-30,906
1988-01-21,Ashton EATON,239,10.33,7.8,14.14,2.05,46.35,13.52,41.58,5.05,56.19,264,23.422313483915126,8729,2011-06-24,91
1992-02-10,Kevin MAYER,1151,10.68,7.5,15.07,2.08,50.31,13.9,48.08,5.2,73.09,283,29.4839151266256,8726,2021-08-05,478
1984-02-07,Trey HARDEE,2165,10.48,7.61,14.55,1.97,48.41,13.71,52.05,5.35,61.92,285,31.381245722108144,8725,2015-06-26,924
1981-07-23,Dmitriy KARPOV,557,10.5,7.81,15.93,2.09,46.81,13.97,51.65,4.6,55.54,278,23.08829568788501,8725,2004-08-24,214
2000-05-28,Kyle GARLAND,1200,10.63,7.86,16.44,2.16,49.04,13.71,46.16,4.85,59.63,283,21.94113620807666,8720,2022-05-07,502
1989-11-04,Damian WARNER,457,10.12,7.67,15.34,2,47.38,13.64,47.23,4.6,63.67,277,29.555099247091032,8711,2019-05-26,178
1974-11-26,Roman ŠEBRLE,1823,10.87,7.76,15.55,2.1,48.26,14.04,46.52,5,62.17,269,27.55373032169747,8701,2002-06-16,778
1996-01-22,Pierce LEPAGE,1694,10.39,7.54,14.83,1.99,46.84,13.78,53.26,5,57.52,282,26.50239561943874,8701,2022-07-24,720
1974-11-26,Roman ŠEBRLE,1823,10.94,7.84,16.47,2.12,48.99,14.39,47.66,4.8,68.87,280,32.563997262149215,8697,2007-06-20,778
1989-11-04,Damian WARNER,457,10.31,7.65,14.44,2.04,47.3,13.63,44.99,4.8,63.5,271,25.815195071868583,8695,2015-08-29,178
1998-02-11,Niklas KAUL,1561,11.27,7.19,15.1,2.02,48.48,14.64,49.2,5,79.05,255,21.642710472279262,8691,2019-10-04,660
1984-02-07,Trey HARDEE,2165,10.44,7.88,15.63,2,48.12,13.73,45.2,5.06,63.33,286,27.304585900068446,8689,2011-05-29,924
1980-01-03,Bryan CLAY,340,10.42,7.67,15.56,2.06,48.87,13.74,52.21,5,66.47,313,26.39835728952772,8677,2006-05-28,132
1974-11-26,Roman ŠEBRLE,1823,11.04,7.56,15.92,2.12,48.8,14.33,48.75,4.8,71.18,275,32.76386036960986,8676,2007-09-01,778
1993-02-23,Zachery ZIEMEK,2354,10.57,7.7,15.37,2.08,49.56,14.47,48.4,5.4,62.18,285,29.412731006160165,8676,2022-07-24,997
1984-02-07,Trey HARDEE,2165,10.42,7.53,15.28,1.99,48.11,13.54,48.26,4.8,66.65,280,28.503764544832308,8671,2012-08-09,924
1987-07-01,Michael SCHRADER,1459,10.73,7.85,14.56,1.99,47.66,14.29,46.44,5,65.67,265,26.11362080766598,8670,2013-08-11,612
1989-11-04,Damian WARNER,457,10.3,7.67,13.66,2.04,47.35,13.58,44.93,4.7,63.19,264,26.78713210130048,8666,2016-08-18,178
1988-03-14,Rico FREIMUTH,1778,10.44,7.6,14.87,2.01,48.76,13.87,51.56,4.9,62.33,277,29.281314168377822,8663,2017-06-25,755
1980-01-03,Bryan CLAY,340,10.48,7.59,15.28,2.01,47.9,14.23,52.1,5.1,68.36,306,24.536618754277892,8660,2004-07-17,132
1989-11-04,Damian WARNER,457,10.28,7.68,14.36,1.97,47.66,13.44,47.56,4.6,61.53,264,25.713894592744694,8659,2015-07-23,178
1987-09-01,Leonel SUÁREZ,1239,11.07,7.42,14.39,2.09,47.65,14.15,46.07,4.7,77.47,267,21.83983572895277,8654,2009-07-04,518
2000-03-13,Ashley MOLONEY,238,10.34,7.64,14.49,2.11,46.29,14.08,44.38,5,57.12,279,21.39630390143737,8649,2021-08-05,90
1993-05-19,Garrett SCANTLING,701,10.53,7.61,15.91,2.05,48.86,13.88,48.17,5.15,64.21,297,28.087611225188226,8647,2021-06-20,282
1980-09-28,Maurice SMITH,1424,10.62,7.5,17.32,1.97,47.48,13.91,52.36,4.8,53.61,273,26.924024640657084,8644,2007-09-01,598
1987-09-01,Leonel SUÁREZ,1239,11.13,7.24,15.2,2.11,48,14.45,44.71,5,75.19,267,21.968514715947983,8640,2009-08-20,518
1974-11-26,Roman ŠEBRLE,1823,11,7.64,15.47,2.06,47.9,14.25,47.47,4.8,69.79,274,28.750171115674195,8634,2003-08-27,778
1986-01-04,Andrei KRAUCHANKA,148,10.86,7.9,13.89,2.15,47.46,14.05,39.63,5,64.35,269,21.39082819986311,8617,2007-05-27,55
1986-01-04,Andrei KRAUCHANKA,148,11.31,7.63,15.19,2.22,50.53,14.2,47.46,5.1,68.11,279,28.605065023956193,8616,2014-08-13,55
1993-05-19,Garrett SCANTLING,701,10.67,7.3,15.59,1.99,48.25,14.03,45.46,5.1,69.1,275,28.213552361396303,8611,2021-08-05,282
1984-02-07,Trey HARDEE,2165,10.55,7.45,15.09,2.02,48.37,13.97,49.89,4.8,68.99,285,27.55373032169747,8607,2011-08-28,924
1974-11-26,Roman ŠEBRLE,1823,10.93,7.6,15.41,2.09,48.59,14.3,47.31,5.1,63.14,275,28.62696783025325,8606,2003-07-13,778
1986-07-30,Arthur ABELE,224,10.95,7.48,15.79,1.98,49.43,14.07,46.2,4.9,71.89,264,29.908281998631075,8605,2016-06-26,81
1970-06-25,Erki NOOL,625,10.73,7.8,14.37,1.97,46.89,14.46,43.32,5.3,66.94,279,30.921286789869953,8604,2001-05-27,240
1992-12-27,Maicel UIBO,1300,11.1,7.46,15.12,2.17,50.44,14.43,46.64,5.4,63.83,271,26.767967145790553,8604,2019-10-04,546
1996-01-22,Pierce LEPAGE,1694,10.43,7.65,15.31,1.99,46.92,14.39,47.14,5,57.24,271,25.53593429158111,8604,2021-08-05,720
1977-12-12,Dean MACEY,525,10.72,7.59,15.41,2.15,46.21,14.34,46.96,4.7,54.61,269,23.652292950034223,8603,2001-08-07,203
1991-01-11,Ilya SHKURENYOV,821,10.89,7.58,14.15,2.12,49,13.95,44.91,5.3,60.29,268,26.412046543463383,8601,2017-06-10,341
1989-11-04,Damian WARNER,457,10.35,7.85,14.09,2.03,47.49,13.54,44.35,4.7,57.69,269,27.561943874058862,8591,2017-05-28,178
1981-07-23,Dmitriy KARPOV,557,10.7,7.19,16.08,2.06,47.44,14.03,48.95,5,59.84,279,26.10814510609172,8586,2007-09-01,214
1986-01-04,Andrei KRAUCHANKA,148,10.98,7.68,14.22,2.13,48.17,14.17,41.85,5.2,64.09,269,22.483230663928815,8585,2008-06-29,55
1976-09-06,Tom PAPPAS,2134,10.65,7.42,16.48,2.18,48.74,14.09,46.71,5,62.06,300,26.732375085557837,8585,2003-06-01,906
1976-09-06,Tom PAPPAS,2134,10.85,7.62,15.32,2.18,49.47,13.93,45.75,5.2,63.42,297,25.73579739904175,8583,2002-06-02,906
1991-01-28,Kai KAZMIREK,1108,10.78,7.69,14.2,2.1,46.75,14.62,43.25,5,64.6,271,25.555099247091032,8580,2016-08-18,460
1993-02-23,Zachery ZIEMEK,2354,10.56,7.62,14.97,2.1,50.44,14.71,51.64,5.15,60.1,279,29.19917864476386,8573,2022-05-07,997
1998-02-11,Niklas KAUL,1561,11.17,7.26,15.19,2.03,48.67,14.83,47.35,4.8,77.36,257,21.418206707734427,8572,2019-07-14,660
1976-09-06,Tom PAPPAS,2134,10.84,7.63,16.82,2.07,49.49,14.19,51.57,5.05,61.7,300,32.92265571526352,8569,2009-08-09,906
1988-03-14,Rico FREIMUTH,1778,10.53,7.48,14.85,1.99,48.41,13.68,51.17,4.8,62.34,281,29.412731006160165,8564,2017-08-12,755
1988-03-14,Rico FREIMUTH,1778,10.51,7.51,15.5,1.95,47.82,13.91,50.17,4.8,60.61,277,27.457905544147845,8561,2015-08-29,755
1985-01-19,Pascal BEHRENBRUCH,1634,10.93,7.15,16.89,1.97,48.54,14.16,48.24,5,67.45,274,27.43874058863792,8558,2012-06-28,694
1986-01-04,Andrei KRAUCHANKA,148,10.98,7.73,14,2.13,47.17,14.08,44.08,5.15,64.08,289,21.71663244353183,8553,2007-09-23,55
1981-07-23,Dmitriy KARPOV,557,10.9,7.54,16.36,2.03,47.75,14.42,52.24,5,55.66,280,25.908281998631075,8553,2007-06-20,214
1992-02-10,Kevin MAYER,1151,10.68,7.4,16.2,1.97,48.87,13.54,50.32,4.65,67.66,287,28.856947296372347,8552,2020-12-19,478
1986-01-04,Andrei KRAUCHANKA,148,10.96,7.61,14.39,2.11,47.3,14.21,44.58,5,60.23,267,22.63107460643395,8551,2008-08-22,55
1993-02-28,Lindon VICTOR,1251,10.61,7.49,15.75,2.02,48.2,14.7,51,4.8,66.01,283,29.5523613963039,8550,2022-09-18,523
1998-02-11,Niklas KAUL,1561,11.16,7.1,14.9,2.02,47.87,14.45,41.8,4.9,76.05,250,24.50924024640657,8545,2022-08-16,660
1993-02-28,Lindon VICTOR,1251,10.64,7.35,15.18,2.05,48.74,14.45,55.22,4.7,68.97,295,24.199863107460644,8539,2017-05-12,523
1987-04-07,Eelco SINTNICOLAAS,599,10.57,7.61,14.62,1.91,48.37,14.16,43.52,5.4,62.13,270,30.140999315537304,8539,2017-05-28,228
1991-01-11,Ilya SHKURENYOV,821,11.01,7.5,14.09,2.1,47.88,14.27,44.53,5.2,60.99,265,24.629705681040384,8538,2015-08-29,341
1974-11-26,Roman ŠEBRLE,1823,11.06,7.85,15.36,2.06,49.17,14.5,47.77,4.8,66.57,273,30.50513347022587,8534,2005-05-29,778
1984-02-07,Trey HARDEE,2165,10.43,7.75,14.07,2.02,47.99,13.71,42.41,5,63.69,284,24.39425051334702,8534,2008-06-30,924
1996-01-22,Pierce LEPAGE,1694,10.3,7.45,14.31,2,47.65,14.05,48.25,5.1,57.06,280,25.352498288843258,8534,2021-05-30,720
2000-05-28,Ayden OWENS-DELERME,260,10.52,7.64,14.97,2.02,45.07,13.88,42.36,4.5,50.98,253,22.154688569472963,8532,2022-07-24,100
1989-11-04,Damian WARNER,457,10.35,7.67,15.17,2.02,48.12,13.56,42.19,4.7,62.87,280,29.913757700205338,8529,2019-10-04,178
2000-05-28,Ayden OWENS-DELERME,260,10.27,7.51,14.89,1.92,46.12,13.8,43,4.7,53.5,253,21.87816563997262,8528,2022-04-14,100
1987-09-01,Leonel SUÁREZ,1239,10.9,7.33,14.49,2.05,47.91,14.15,44.45,4.7,73.98,269,20.974674880219027,8527,2008-08-22,518
1972-05-11,Tomáš DVOŘÁK,2144,10.84,7.69,15.83,1.97,48.76,13.99,46.74,4.7,66.66,273,29.04312114989733,8527,2001-05-27,912
1974-11-26,Roman ŠEBRLE,1823,10.98,7.72,15.53,2.09,49.11,14.27,45.47,5,66.9,286,31.707049965776864,8526,2006-08-11,778
1979-08-29,Kristjan RAHNU,1184,10.52,7.58,15.51,1.99,48.6,14.04,50.81,4.95,60.71,292,25.76865160848734,8526,2005-06-05,491
1976-09-06,Tom PAPPAS,2134,10.8,7.45,15.68,2.12,48.36,14.08,46.1,5.05,62.76,293,26.04243668720055,8525,2002-09-22,906
1987-09-01,Leonel SUÁREZ,1239,11.27,7.52,14.5,2.11,49.04,14.45,45.75,4.7,76.94,270,24.93908281998631,8523,2012-08-09,518
1989-11-04,Damian WARNER,457,10.15,7.12,14.64,2,47.13,13.72,47.79,4.7,58.72,272,26.56536618754278,8523,2016-05-29,178
1987-07-01,Michael SCHRADER,1459,10.64,8.05,14.33,1.94,49.71,14.21,43.09,5,64.04,262,21.916495550992472,8522,2009-05-31,612
1988-05-10,Larbi BOURRADA,1214,10.75,7.52,13.78,2.1,47.98,14.15,42.39,4.6,66.49,254,28.27378507871321,8521,2016-08-18,506
1992-02-10,Kevin MAYER,1151,11.1,7.65,15.14,2.01,49.23,14.28,44.53,5.2,64.03,264,22.50513347022587,8521,2014-08-13,478
1974-11-26,Roman ŠEBRLE,1823,10.91,7.86,16.29,2.06,48.62,14.71,46.85,4.8,63.21,279,30.704996577686515,8521,2005-08-10,778
1982-01-12,Hans VAN ALPHEN,753,10.96,7.62,15.23,2.06,49.54,14.55,45.45,4.96,64.15,260,30.3709787816564,8519,2012-05-27,308
1974-11-26,Roman ŠEBRLE,1823,11.1,7.84,15.58,2.09,49.27,14.52,45.15,4.8,70.09,279,32.498288843258045,8518,2007-05-27,778
1984-02-07,Trey HARDEE,2165,10.5,7.49,15.15,1.97,48.63,13.69,49.09,5.06,58.2,284,30.313483915126625,8518,2014-06-01,924
1976-09-06,Tom PAPPAS,2134,10.75,7.51,15.87,2.07,48.01,14.23,46.8,5,60.75,287,27.860369609856264,8517,2004-07-17,906
1984-02-07,Trey HARDEE,2165,10.48,7.74,13.93,2,48.42,14.11,45.11,5.1,63.98,283,25.311430527036276,8516,2009-05-31,924
1972-05-11,Tomáš DVOŘÁK,2144,10.78,7.61,16.16,1.97,48.77,13.98,47.62,4.7,69.22,286,29.32511978097194,8514,2001-09-07,912
1985-01-19,Pascal BEHRENBRUCH,1634,10.73,6.94,15.89,1.97,48.6,14.17,48.25,5,67.59,270,28.40520191649555,8514,2013-06-16,694
1992-12-27,Maicel UIBO,1300,11.04,7.57,14.78,2.12,50.32,14.66,46.58,5.3,61.75,267,25.412731006160165,8514,2018-05-27,546
1989-11-04,Damian WARNER,457,10.32,7.74,15.01,1.97,47.77,13.68,48.82,4.4,59.48,278,29.754962354551676,8513,2019-08-07,178
1989-11-04,Damian WARNER,457,10.43,7.39,14.23,2.05,48.41,13.96,44.13,4.8,64.67,270,23.76728268309377,8512,2013-08-11,178
1981-07-23,Dmitriy KARPOV,557,10.76,7.78,15.4,2.06,47.51,14.01,52.33,4.5,55.54,282,22.85284052019165,8512,2004-05-30,214
1976-09-06,Tom PAPPAS,2134,10.9,7.77,17.26,1.96,49.8,14.17,49.44,5.2,59.34,294,31.813826146475016,8511,2008-06-30,906
1988-07-04,Kurt FELIX,1195,10.91,7.68,15.31,2.07,48.67,14.92,50.59,4.5,72.8,283,28.974674880219027,8509,2017-06-25,498
1975-07-21,Oleksandr YURKOV,1600,10.89,7.81,15.76,1.94,49.58,14.26,49.53,5.4,56.14,280,26.86652977412731,8509,2002-06-02,676
1987-04-07,Eelco SINTNICOLAAS,599,10.77,7.27,14.2,2,48.02,14.1,42.81,5.36,63.59,267,25.138945927446954,8506,2012-05-27,228
1980-01-03,Bryan CLAY,340,10.7,7.44,14.88,2.06,49.62,14.06,55.87,5,60.02,297,25.472963723477072,8506,2005-06-24,132
1988-01-21,Ashton EATON,239,10.46,7.46,14.44,2.02,46.99,13.85,46.17,4.6,55.17,258,23.600273785078713,8505,2011-08-28,91
1981-07-23,Dmitriy KARPOV,557,10.85,7.23,16.49,2.06,48.64,14.14,49.98,5.3,50.62,277,26.858316221765914,8504,2008-06-01,214
1987-09-01,Leonel SUÁREZ,1239,11.07,7.33,14.54,2.05,49.17,14.29,46.25,5,69.12,264,23.98904859685147,8501,2011-08-28,518
1991-01-11,Ilya SHKURENYOV,821,11.05,7.5,14.2,2.1,49,14.14,46.04,5.2,63.58,275,23.586584531143053,8498,2014-08-13,341
1985-03-08,Aleksey SYSOYEV,84,10.86,7.01,15.49,2.03,49.1,14.64,54.08,5.1,64.22,278,23.23340177960301,8497,2008-06-01,33
1988-11-21,Yordani GARCÍA,2325,10.88,7.36,16.5,2.1,48.77,14.07,43.97,4.8,68.1,286,20.520191649555098,8496,2009-05-30,986
1991-01-11,Ilya SHKURENYOV,821,11.02,7.61,14.71,2.11,49.36,14.28,48.75,5.2,59.56,281,28.72826830937714,8494,2019-10-04,341
1980-01-03,Bryan CLAY,340,10.4,7.8,15.3,2.09,48.41,13.97,36.14,4.8,69.09,291,27.394934976043807,8493,2007-05-27,132
1986-01-04,Andrei KRAUCHANKA,148,11.02,7.71,13.44,2.14,47.61,14.22,43.31,5.1,59.8,270,21.516769336071185,8492,2007-07-12,55
2000-03-13,Ashley MOLONEY,238,10.36,7.67,13.62,2.11,45.82,14.17,43.93,4.8,57.77,288,20.772073921971252,8492,2020-12-20,90
1991-01-28,Kai KAZMIREK,1108,10.91,7.64,13.78,2.11,47.19,14.66,45.06,5.1,62.45,278,26.537987679671456,8488,2017-08-12,460
1994-03-04,Steven BASTIEN,2008,10.52,7.2,14.47,2.08,47.79,14.24,42.1,4.95,61.2,262,27.29637234770705,8485,2021-06-20,856
1980-01-03,Bryan CLAY,340,10.35,7.51,15.38,2.06,49.66,14.08,49.85,4.6,66.19,296,30.403832991101986,8483,2010-05-30,132
1980-01-03,Bryan CLAY,340,10.43,7.71,14.01,2.02,47.85,14.12,43.51,4.7,67.77,282,23.46611909650924,8482,2003-06-22,132
1986-07-30,Arthur ABELE,224,10.85,7.28,15.93,1.89,48.4,14.01,44.77,4.9,67.61,262,31.88227241615332,8481,2018-06-17,81
1977-04-29,Attila ZSIVOCZKY-PANDEL,250,10.9,7.15,15.96,2.15,49.46,14.63,47.9,4.9,62.79,271,28.082135523613964,8480,2005-05-29,96
1985-08-26,Oleksiy KASYANOV,1602,10.63,7.8,15.72,2.05,47.85,14.44,46.7,4.8,49,264,23.983572895277206,8479,2009-08-20,677
1991-01-28,Kai KAZMIREK,1108,10.85,7.5,14.63,2.07,47.4,14.62,45.19,5.2,60.52,278,26.406570841889117,8478,2017-06-25,460
1987-04-07,Eelco SINTNICOLAAS,599,10.9,7.65,14.28,2.01,48.44,14.12,42.56,5.4,59.37,270,27.351129363449694,8478,2014-08-13,228
1986-07-30,Arthur ABELE,224,10.9,7.55,15.39,1.98,48.59,13.55,43.25,4.7,62.45,260,28.03832991101985,8477,2014-08-13,81
1983-12-03,Aleksey DROZDOV,78,10.97,7.25,16.49,2.12,50,14.76,48.62,5,63.51,276,23.745379876796715,8475,2007-09-01,30
1993-02-28,Lindon VICTOR,1251,10.78,7.26,16.29,2.02,49.27,14.76,53.92,4.8,66.2,287,29.399041752224505,8474,2022-07-24,523
1993-02-28,Lindon VICTOR,1251,10.56,7.43,16.02,2,49.22,14.86,54.03,4.8,66.48,296,26.236824093086927,8473,2019-05-26,523
1993-02-28,Lindon VICTOR,1251,10.63,7.37,16.52,2.09,48.24,14.94,53,4.3,66.69,288,24.082135523613964,8472,2017-03-30,523
1991-01-28,Kai KAZMIREK,1108,10.76,7.45,14.2,2.15,47.04,14.15,43.59,4.96,56.31,273,23.340177960301162,8471,2014-06-01,460
1993-02-23,Zachery ZIEMEK,2354,10.7,7.74,14.79,2.14,50.89,15.04,45.83,5.55,55.72,280,28.320328542094455,8471,2021-06-20,997
1992-02-10,Kevin MAYER,1151,11.12,7.42,15.33,1.98,48.91,14.44,45.83,5.35,63.46,269,23.32101300479124,8469,2015-06-07,478
2000-02-07,Simon EHAMMER,1948,10.56,8.31,14.24,2.08,47.4,13.75,34.92,5.2,53.46,288,22.521560574948666,8468,2022-08-16,829
1984-02-07,Trey HARDEE,2165,10.35,7.7,14.45,1.99,49.11,13.83,48.24,5.2,60,306,22.16016427104723,8465,2006-04-06,924
1969-04-01,Lev LOBODIN,1241,10.66,7.32,15.93,2,48.91,14.22,48.53,5.2,54.56,276,32.153319644079396,8465,2001-05-27,519
1991-01-28,Kai KAZMIREK,1108,10.78,7.56,13.85,2.09,47.3,14.52,40.96,5.1,64.45,274,24.33675564681725,8462,2015-05-31,460
1988-05-10,Larbi BOURRADA,1214,10.83,7.51,13.73,2.07,47.6,14.26,41.53,4.8,63.82,256,27.301848049281315,8461,2015-08-29,506
1987-09-01,Leonel SUÁREZ,1239,11.21,7.14,14.27,2.07,48.15,14.48,47.07,4.9,72.32,268,28.9637234770705,8460,2016-08-18,518
1991-01-28,Kai KAZMIREK,1108,10.75,7.68,14.01,2.13,47.34,14.05,43.37,4.6,63.17,278,23.540041067761805,8458,2014-08-13,460
2000-05-28,Ayden OWENS-DELERME,260,10.41,7.29,15.09,2.01,46.1,13.93,46.25,4.51,56.07,269,22.031485284052017,8457,2022-06-09,100
1988-01-21,Ashton EATON,239,10.37,7.9,12.6,2.02,46.28,13.68,41.71,4.7,52.41,261,22.38740588637919,8457,2010-06-11,91
1985-03-08,Aleksey SYSOYEV,84,10.85,6.87,16.17,2.02,49.32,14.97,53.03,5.1,64.55,275,24.451745379876797,8454,2009-08-20,33
1980-08-01,Romain BARRAS,1812,11.09,7.24,15.15,2.04,48.33,14.22,44.51,5.05,65.77,268,29.99041752224504,8453,2010-07-29,773
1996-01-22,Pierce LEPAGE,1694,10.31,7.87,14.21,2.07,48.14,14.4,44.46,5.25,55.22,299,23.416837782340863,8453,2019-06-23,720
1987-09-01,Leonel SUÁREZ,1239,11.14,7.23,13.78,2.14,48.3,14.12,42.25,4.8,69.96,261,20.80766598220397,8451,2008-06-22,518
1991-01-28,Kai KAZMIREK,1108,10.9,7.4,14.27,2.1,46.83,14.39,40.08,5.2,62.55,275,24.583162217659137,8448,2015-08-29,460
1993-02-28,Lindon VICTOR,1251,10.72,7.42,16.28,2,48.85,14.66,54.85,4.7,63.93,295,29.245722108145106,8447,2022-05-29,523
1982-01-12,Hans VAN ALPHEN,753,11.05,7.64,15.48,2.05,49.18,14.89,48.28,4.8,61.69,262,30.573579739904176,8447,2012-08-09,308
1993-02-28,Lindon VICTOR,1251,10.72,7.09,15.73,2.02,48.33,14.7,54.56,4.55,68.96,287,23.20328542094456,8446,2016-05-13,523
1992-02-10,Kevin MAYER,1151,11.23,7.5,13.76,2.05,49.53,14.21,45.37,5.2,66.09,265,21.50034223134839,8446,2013-08-11,478
1992-02-10,Kevin MAYER,1151,10.92,7.32,15.22,2,50.07,14.06,48.99,5,65.77,275,24.298425735797398,8446,2016-05-29,478
1998-03-26,Johannes ERM,975,10.73,7.97,14.66,2.03,47.41,14.33,43.24,4.7,59.6,274,21.300479123887747,8445,2019-07-14,404
1996-01-22,Pierce LEPAGE,1694,10.36,7.79,13.21,2.05,47.35,14.19,41.19,5.2,57.42,285,23.698836413415467,8445,2019-10-04,720
1991-01-28,Kai KAZMIREK,1108,10.85,7.74,14.72,1.99,46.81,14.14,44.71,5.1,56.95,281,28.418891170431213,8444,2019-06-30,460
1989-11-04,Damian WARNER,457,10.48,7.54,13.73,2.05,48.2,14.38,45.9,4.7,62.77,269,22.76249144421629,8442,2012-08-09,178
1987-09-01,Leonel SUÁREZ,1239,11.06,7.21,13.48,2.06,48.85,14.35,44.57,4.86,75.49,265,23.73990417522245,8440,2011-05-29,518
1985-01-19,Pascal BEHRENBRUCH,1634,10.92,7.09,15.77,2.02,48.72,14.24,48.06,4.8,69.72,279,24.583162217659137,8439,2009-08-20,694
1996-03-07,Harrison WILLIAMS,759,10.64,7.7,14.34,1.93,47.46,14.45,48.86,5.12,54.69,274,25.13347022587269,8439,2021-04-25,310
1970-06-25,Erki NOOL,625,10.75,7.49,14.76,2,47.26,14.63,45.05,5.3,59.52,281,32.120465434633815,8438,2002-08-08,240
1981-07-23,Dmitriy KARPOV,557,10.79,7.72,15.99,2.04,48.5,14.19,47.72,4.9,54.44,284,25.152635181382614,8438,2006-09-17,214
