Rank,Competitor,DOB,Nat,Pos,Venue,Date,World Athletics Event Ranking Score,Men 100,Men 100 Wind,Men 100 Score,Men LJ,Men LJ Wind,Men LJ Score,Men SP,Men SP Score,Men HJ,Men HJ Score,Men 400,Men 400 Score,Men 110h,Men 110h Wind,Men 110h Score,Men DT,Men DT Score,Men PV,Men PV Score,Men JT,Men JT Score,Men 1500,Men 1500 Score,Overall Score
6,Zachery ZIEMEK,2/23/1993,USA,3,"Hayward Field, Eugene, OR (USA)",7/24/2022,1231,10.57,0.8,959,7.70,1.6,985,15.37,812,2.08,878,49.56,835,14.47,1.5,915,48.4,837,5.40,1035,62.18,771,04:45.0,649.83,8676
3,Trey HARDEE,2/7/1984,USA,2,"Olympic Stadium, London (GBR)",8/9/2012,1230,10.42,0.4,994,7.53,1.1,942,15.28,807,1.99,794,48.11,904,13.54,0.1,1035,48.26,834,4.80,849,66.65,838,04:40.9,674.89,8671
2,Michael SCHRADER,7/1/1987,GER,2,"Luzhniki Stadion, Moskva (RUS)",8/11/2013,1230,10.73,-0.5,922,7.85,0.2,1022,14.56,763,1.99,794,47.66,926,14.29,0.4,937,46.44,797,5.00,910,65.67,824,04:25.4,775.71,8670
4,Damian WARNER,11/4/1989,CAN,3,"Estádio Olímpico, Rio de Janeiro (BRA)",8/18/2016,1230,10.3,-0.1,1023,7.67,0.5,977,13.66,708,2.04,840,47.35,941,13.58,0.7,1029,44.93,765,4.70,819,63.19,786,04:24.9,778.93,8666
2,Rico FREIMUTH,3/14/1988,GER,1,"Stadionring, Ratingen (GER)",6/25/2017,1229,10.44,3.3,989,7.60,1.5,960,14.87,782,2.01,813,48.76,873,13.87,0.7,991,51.56,903,4.90,880,62.33,773,04:37.0,699.55,8663
6,Bryan CLAY,1/3/1980,USA,1,"Sacramento, CA (USA)",7/17/2004,1229,10.48,-0.1,980,7.59,-0.4,957,15.28,807,2.01,813,47.90,914,14.23,-0.6,945,52.1,914,5.10,941,68.36,864,05:06.2,525.16,8660
4,Damian WARNER,11/4/1989,CAN,1,"CIBC, Toronto (CAN)",7/23/2015,1229,10.28,1.4,1028,7.68,2.4,980,14.36,750,1.97,776,47.66,926,13.44,2,1048,47.56,820,4.60,790,61.53,761,04:24.7,780.06,8659
2,Leonel SUÁREZ,9/1/1987,CUB,1,La Habana (CUB),7/4/2009,1228,11.07,0.7,845,7.42,0.8,915,14.39,752,2.09,887,47.65,926,14.15,-0.6,955,46.07,789,4.70,819,77.47,1004,04:27.3,762.99,8654
4,Ashley MOLONEY,3/13/2000,AUS,3,"National Stadium, Tokyo (JPN)",8/5/2021,1227,10.34,0.2,1013,7.64,0.4,970,14.49,758,2.11,906,46.29,994,14.08,-1,964,44.38,754,5.00,910,57.12,695,04:39.2,685.90,8649
5,Garrett SCANTLING,5/19/1993,USA,1,"Hayward Field, Eugene, OR (USA)",6/20/2021,1227,10.53,1.8,968,7.61,2.6,962,15.91,846,2.05,850,48.86,868,13.88,1.2,990,48.17,832,5.15,957,64.21,801,04:57.8,573.25,8647
3,Maurice SMITH,9/28/1980,JAM,2,"Yanmar Stadium Nagai, Osaka (JPN)",9/1/2007,1226,10.62,0.7,947,7.50,0,935,17.32,933,1.97,776,47.48,934,13.91,-0.2,986,52.36,920,4.80,849,53.61,642,04:33.5,722.16,8644
3,Leonel SUÁREZ,9/1/1987,CUB,2,"Olympiastadion, Berlin (GER)",8/20/2009,1226,11.13,0,832,7.24,-0.3,871,15.20,802,2.11,906,48.00,909,14.45,0.3,917,44.71,761,5.00,910,75.19,969,04:27.3,763.25,8640
4,Roman ŠEBRLE,11/26/1974,CZE,2,"Stade de France, Paris-St-Denis (FRA)",8/27/2003,1225,11,-0.5,861,7.64,-0.9,970,15.47,819,2.06,859,47.90,914,14.25,0,942,47.47,818,4.80,849,69.79,886,04:34.5,716.16,8634
4,Andrei KRAUCHANKA,1/4/1986,BLR,1,"Mösle-Stadium, Götzis (AUT)",5/27/2007,1222,10.86,0.2,892,7.90,0.9,1035,13.89,722,2.15,944,47.46,935,14.05,-0.1,968,39.63,657,5.00,910,64.35,803,04:29.1,751.02,8617
1,Andrei KRAUCHANKA,1/4/1986,BLR,1,"Letzigrund, Zürich (SUI)",8/13/2014,1222,11.31,-1.1,793,7.63,-0.7,967,15.19,801,2.22,1012,50.53,790,14.20,0.1,949,47.46,818,5.10,941,68.11,861,04:39.4,684.64,8616
6,Garrett SCANTLING,5/19/1993,USA,4,"National Stadium, Tokyo (JPN)",8/5/2021,1221,10.67,0.2,935,7.30,-0.1,886,15.59,826,1.99,794,48.25,897,14.03,-1,971,45.46,776,5.10,941,69.10,876,04:35.5,709.15,8611
3,Trey HARDEE,2/7/1984,USA,1,"DS, Daegu (KOR)",8/28/2011,1221,10.55,-0.5,963,7.45,0.1,922,15.09,795,2.02,822,48.37,891,13.97,-0.8,978,49.89,868,4.80,849,68.99,874,04:45.7,645.46,8607
5,Roman ŠEBRLE,11/26/1974,CZE,1,"Stadionring, Ratingen (GER)",7/13/2003,1220,10.93,1.6,876,7.60,0.5,960,15.41,815,2.09,887,48.59,881,14.30,-1.2,936,47.31,815,5.10,941,63.14,785,04:35.4,710.24,8606
5,Arthur ABELE,7/30/1986,GER,1,"Stadionring, Ratingen (GER)",6/26/2016,1220,10.95,-0.6,872,7.48,0.4,930,15.79,838,1.98,785,49.43,841,14.07,-0.9,965,46.2,792,4.90,880,71.89,918,04:24.1,784.16,8605
4,Erki NOOL,6/25/1970,EST,2,Götzis (AUT),5/27/2001,1220,10.73,0,922,7.80,1.8,1010,14.37,751,1.97,776,46.89,964,14.46,-0.6,916,43.32,732,5.30,1004,66.94,843,04:39.1,686.41,8604
3,Maicel UIBO,12/27/1992,EST,2,"Khalifa International Stadium, Doha (QAT)",10/4/2019,1220,11.1,0.3,838,7.46,0.2,925,15.12,797,2.17,963,50.44,794,14.43,0.2,920,46.64,801,5.40,1035,63.83,796,04:31.5,735.22,8604
7,Pierce LEPAGE,1/22/1996,CAN,5,"National Stadium, Tokyo (JPN)",8/5/2021,1220,10.43,0.2,992,7.65,0.9,972,15.31,809,1.99,794,46.92,962,14.39,-1,925,47.14,811,5.00,910,57.24,696,04:31.8,733.01,8604
5,Dean MACEY,12/12/1977,GBR,3,"Commonwealth Stadium, Edmonton (CAN)",8/7/2001,1220,10.72,-0.7,924,7.59,0.4,957,15.41,815,2.15,944,46.21,998,14.34,0,931,46.96,807,4.70,819,54.61,657,04:29.0,751.35,8603
3,Ilya SHKURENYOV,1/11/1991,RUS,1,Smolensk (RUS),6/10/2017,1220,10.89,0.7,885,7.58,0.9,955,14.15,738,2.12,915,49.00,861,13.95,1.4,981,44.91,765,5.30,1004,60.29,742,04:28.4,755.97,8601
4,Damian WARNER,11/4/1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",5/28/2017,1218,10.35,0.5,1011,7.85,1.4,1022,14.09,734,2.03,831,47.49,934,13.54,-0.2,1035,44.35,753,4.70,819,57.69,703,04:29.3,749.51,8591
5,Dmitriy KARPOV,7/23/1981,KAZ,3,"Yanmar Stadium Nagai, Osaka (JPN)",9/1/2007,1217,10.7,-0.2,929,7.19,0,859,16.08,856,2.06,859,47.44,936,14.03,-0.2,971,48.95,849,5.00,910,59.84,735,04:39.7,682.81,8586
3,Andrei KRAUCHANKA,1/4/1986,BLR,1,"Blankers-Koen Stadion, Hengelo (NED)",6/29/2008,1217,10.98,1.2,865,7.68,0.5,980,14.22,742,2.13,925,48.17,901,14.17,0.4,953,41.85,702,5.20,972,64.09,800,04:29.9,745.63,8585
6,Tom PAPPAS,9/6/1976,USA,2,Götzis (AUT),6/1/2003,1217,10.65,-0.2,940,7.42,1.3,915,16.48,881,2.18,973,48.74,874,14.09,0,963,46.71,802,5.00,910,62.06,769,05:00.2,558.79,8585
4,Tom PAPPAS,9/6/1976,USA,2,Götzis (AUT),6/2/2002,1217,10.85,0.7,894,7.62,1.3,965,15.32,809,2.18,973,49.47,839,13.93,1.6,984,45.75,782,5.20,972,63.42,789,04:57.2,576.63,8583
6,Kai KAZMIREK,1/28/1991,GER,4,"Estádio Olímpico, Rio de Janeiro (BRA)",8/18/2016,1216,10.78,-0.1,910,7.69,-1,982,14.20,741,2.10,896,46.75,971,14.62,0.7,896,43.25,731,5.00,910,64.60,807,04:31.2,736.92,8580
7,Zachery ZIEMEK,2/23/1993,USA,3,"John McDonnell Field, Fayetteville, AR (USA)",5/7/2022,1215,10.56,0.9,961,7.62,1.7,965,14.97,788,2.10,896,50.44,794,14.71,-0.2,885,51.64,905,5.15,957,60.10,739,04:39.6,683.32,8573
4,Niklas KAUL,2/11/1998,GER,1,Gävle (SWE),7/14/2019,1215,11.17,1.9,823,7.26,0.4,876,15.19,801,2.03,831,48.67,877,14.83,0.2,870,47.35,815,4.80,849,77.36,1002,04:17.6,828.33,8572
4,Tom PAPPAS,9/6/1976,USA,1,Marburg (GER),8/9/2009,1215,10.84,1.6,897,7.63,1.7,967,16.82,902,2.07,868,49.49,838,14.19,0.3,950,51.57,903,5.05,926,61.70,763,05:00.8,555.80,8569
5,Rico FREIMUTH,3/14/1988,GER,2,"Olympic Stadium, London (GBR)",8/12/2017,1214,10.53,-0.7,968,7.48,-0.4,930,14.85,780,1.99,794,48.41,889,13.68,-0.1,1016,51.17,895,4.80,849,62.34,773,04:41.6,670.94,8564
5,Rico FREIMUTH,3/14/1988,GER,3,"National Stadium, Beijing (CHN)",8/29/2015,1213,10.51,-0.4,973,7.51,0.5,937,15.50,820,1.95,758,47.82,918,13.91,-0.2,986,50.17,874,4.80,849,60.61,747,04:37.0,699.49,8561
4,Pascal BEHRENBRUCH,1/19/1985,GER,1,"Olympiastadion, Helsinki (FIN)",6/28/2012,1213,10.93,0.8,876,7.15,-0.8,850,16.89,906,1.97,776,48.54,883,14.16,0.2,954,48.24,834,5.00,910,67.45,851,04:34.0,718.93,8558
6,Andrei KRAUCHANKA,1/4/1986,BLR,1,"Stade Pierre Paul Bernard, Talence (FRA)",9/23/2007,1212,10.98,0.2,865,7.73,0.8,992,14.00,728,2.13,925,47.17,950,14.08,-1.1,964,44.08,748,5.15,957,64.08,799,04:49.0,625.27,8553
6,Dmitriy KARPOV,7/23/1981,KAZ,2,Kladno (CZE),6/20/2007,1212,10.9,,883,7.54,1.4,945,16.36,873,2.03,831,47.75,921,14.42,,921,52.24,917,5.00,910,55.66,673,04:40.3,679.03,8553
1,Kevin MAYER,2/10/1992,FRA,1,"Stade P-J. Bénard, St-Paul (FRA)",12/19/2020,1212,10.68,-0.5,933,7.40,0.6,910,16.20,864,1.97,776,48.87,867,13.54,1.8,1035,50.32,877,4.65,804,67.66,854,04:47.7,632.86,8552
4,Andrei KRAUCHANKA,1/4/1986,BLR,2,"National Stadium, Beijing (CHN)",8/22/2008,1212,10.96,-0.2,870,7.61,-0.2,962,14.39,752,2.11,906,47.30,943,14.21,-0.5,948,44.58,758,5.00,910,60.23,741,04:27.5,761.80,8551
8,Lindon VICTOR,2/28/1993,GRN,1,"Stade Pierre Paul Bernard, Talence (FRA)",9/18/2022,1212,10.61,3.1,949,7.49,1.1,932,15.75,836,2.02,822,48.20,899,14.70,-0.7,886,51,891,4.80,849,66.01,829,04:43.7,657.43,8550
9,Niklas KAUL,2/11/1998,GER,1,"Olympiastadion, München (GER)",8/16/2022,1211,11.16,-0.2,825,7.10,-0.5,838,14.90,784,2.02,822,47.87,915,14.45,0,917,41.8,701,4.90,880,76.05,982,04:10.0,881.39,8545
6,Lindon VICTOR,2/28/1993,GRN,1,"Columbia, SC (USA)",5/12/2017,1210,10.64,3.6,942,7.35,2.1,898,15.18,801,2.05,850,48.74,874,14.45,1.8,917,55.22,980,4.70,819,68.97,874,04:55.9,584.01,8539
6,Eelco SINTNICOLAAS,4/7/1987,NED,2,"Mösle-Stadium, Götzis (AUT)",5/28/2017,1210,10.57,0.5,959,7.61,0.6,962,14.62,766,1.91,723,48.37,891,14.16,-1.2,954,43.52,736,5.40,1035,62.13,770,04:30.3,743.00,8539
6,Ilya SHKURENYOV,1/11/1991,RUS,4,"National Stadium, Beijing (CHN)",8/29/2015,1210,11.01,-0.7,858,7.50,0.5,935,14.09,734,2.10,896,47.88,915,14.27,-0.2,940,44.53,757,5.20,972,60.99,753,04:25.0,778.39,8538
2,Roman ŠEBRLE,11/26/1974,CZE,1,"Mösle-Stadium, Götzis (AUT)",5/29/2005,1209,11.06,0.4,847,7.85,0,1022,15.36,812,2.06,859,49.17,853,14.50,-1.2,911,47.77,824,4.80,849,66.57,837,04:33.7,720.74,8534
5,Trey HARDEE,2/7/1984,USA,2,"Eugene, OR (USA)",6/30/2008,1209,10.43,-0.4,992,7.75,-1.1,997,14.07,733,2.02,822,47.99,910,13.71,1.9,1012,42.41,714,5.00,910,63.69,794,04:44.8,650.94,8534
8,Pierce LEPAGE,1/22/1996,CAN,2,"Mösle-Stadium, Götzis (AUT)",5/30/2021,1209,10.3,0.7,1023,7.45,1,922,14.31,747,2.00,803,47.65,926,14.05,0.9,968,48.25,834,5.10,941,57.06,694,04:40.7,676.46,8534
10,Ayden OWENS-DELERME,5/28/2000,PUR,4,"Hayward Field, Eugene, OR (USA)",7/24/2022,1209,10.52,0.8,970,7.64,0.9,970,14.97,788,2.02,822,45.07,1056,13.88,1.1,990,42.36,713,4.50,760,50.98,603,04:13.0,860.38,8532
5,Damian WARNER,11/4/1989,CAN,3,"Khalifa International Stadium, Doha (QAT)",10/4/2019,1208,10.35,0.8,1011,7.67,-0.1,977,15.17,800,2.02,822,48.12,903,13.56,0.8,1032,42.19,709,4.70,819,62.87,781,04:40.8,675.95,8529
11,Ayden OWENS-DELERME,5/28/2000,PUR,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",4/14/2022,1208,10.27,1.2,1030,7.51,1.7,937,14.89,783,1.92,731,46.12,1002,13.80,-0.3,1000,43,726,4.70,819,53.50,641,04:13.2,859.32,8528
6,Leonel SUÁREZ,9/1/1987,CUB,3,"National Stadium, Beijing (CHN)",8/22/2008,1208,10.9,-0.6,883,7.33,0.8,893,14.49,758,2.05,850,47.91,913,14.15,-0.5,955,44.45,756,4.70,819,73.98,950,04:29.2,750.56,8527
6,Tomáš DVOŘÁK,5/11/1972,CZE,3,Götzis (AUT),5/27/2001,1208,10.84,0,897,7.69,0.4,982,15.83,841,1.97,776,48.76,873,13.99,-0.2,976,46.74,803,4.70,819,66.66,839,04:33.6,721.77,8527
2,Roman ŠEBRLE,11/26/1974,CZE,1,"Ullevi Stadium, Göteborg (SWE)",8/11/2006,1208,10.98,-0.5,865,7.72,1,990,15.53,822,2.09,887,49.11,856,14.27,-0.1,940,45.47,777,5.00,910,66.90,842,04:46.9,637.92,8526
3,Kristjan RAHNU,8/29/1979,EST,1,Arles (FRA),6/5/2005,1208,10.52,2.2,970,7.58,1.6,955,15.51,821,1.99,794,48.60,880,14.04,3.1,969,50.81,887,4.95,895,60.71,749,04:52.2,606.08,8526
5,Tom PAPPAS,9/6/1976,USA,1,Talence (FRA),9/22/2002,1208,10.8,-0.6,906,7.45,1.2,922,15.68,832,2.12,915,48.36,892,14.08,0.4,964,46.1,790,5.05,926,62.76,779,04:53.3,599.65,8525
5,Leonel SUÁREZ,9/1/1987,CUB,3,"Olympic Stadium, London (GBR)",8/9/2012,1207,11.27,0.7,801,7.52,0.5,940,14.50,759,2.11,906,49.04,859,14.45,1,917,45.75,782,4.70,819,76.94,996,04:30.1,744.58,8523
